Designator,Comment,Footprint
L1,15uH,L_7.3x7.3_H4.5
"J17,J30,J4,J25,J22,J16,J26,J21,J29,J20,J10,J5,J24,J18,J14,J3,J8,J11,J1,J6,J23,J12,J19,J9,J15,J2,J7,J28,J13,J27",Conn_01x02,PinSocket_1x02_P2.54mm_Vertical
"R19,R14,R23,R21,R25,R9,R26,R11,R4,R28,R31,R7,R24,R5,R17,R6,R29,R1,R8,R3,R12,R22,R20,R27,R18,R13,R15,R10,R16,R30",100R,R_0805_2012Metric
"C4,C5,C7,C6",1uF,C_0805_2012Metric
"C1,C3,C2",1000uF,CAPPRD500W60D1250H2000
C11,470uF,CP_Radial_D8.0mm_P3.50mm
D31,B340,D_SMC
"D14,D24,D21,D20,D13,D12,D19,D5,D17,D26,D6,D23,D16,D1,D3,D9,D30,D29,D18,D11,D28,D27,D4,D10,D8,D7,D15,D25,D2,D22",SS14,D_SMA
J39,TEENSY_L,PinSocket_1x24_P2.54mm_Vertical
"Q13,Q21,Q26,Q18,Q29,Q23,Q19,Q20,Q30,Q17,Q25,Q4,Q22,Q6,Q8,Q9,Q11,Q14,Q5,Q2,Q7,Q1,Q10,Q27,Q12,Q24,Q28,Q16,Q3,Q15",IRLZ34N,TO-220-3_Vertical
C9,22uF,C_1206_3216Metric
"R45,R58,R50,R35,R38,R44,R61,R53,R40,R41,R55,R52,R42,R48,R43,R46,R2,R49,R51,R32,R34,R47,R59,R54,R57,R60,R56,R36,R37,R33,R39",10k,R_0805_2012Metric
J31,TMC2209_1,Pololu_Breakout-16_15.2x20.3mm
J41,TEENSY_R,PinSocket_1x24_P2.54mm_Vertical
J36,NEMA_1,PinHeader_1x04_P2.54mm_Vertical
J44,TEENSY_BREAKOUT_R,PinSocket_1x24_P2.54mm_Vertical
"J42,J45",Conn_01x07,PinSocket_1x07_P2.54mm_Vertical
U6,SN74HC595DR_3,D0016A_N
U5,TPS5430DDAR,DDA0008J_NV
J37,PWR,PinSocket_1x02_P2.54mm_Vertical
R63,4.7k,R_0805_2012Metric
U3,SN74HC595DR_2,D0016A_N
C8,10uF,CP_Radial_D5.0mm_P2.00mm
U2,SN74HC595DR_1,D0016A_N
R62,3.24k,R_0805_2012Metric
J43,TEENSY_BREAKOUT_L,PinSocket_1x24_P2.54mm_Vertical
J38,ENDSTOP_2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical
J46,DRIVER_RIGHT,PinSocket_1x07_P2.54mm_Vertical
D34,POWER LED,LED_0603_1608Metric
U4,SN74HC595DR_4,D0016A_N
J47,DRIVER_LEFT,PinSocket_1x07_P2.54mm_Vertical
J40,ENDSTOP_1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical
C10,10nF,C_0805_2012Metric
J35,NEMA_2,PinHeader_1x04_P2.54mm_Vertical
J32,TMC2209_2,Pololu_Breakout-16_15.2x20.3mm
