Designator,Mid X,Mid Y,Layer,Rotation
C1,196.358667,-56.642,Top,90.0
C2,62.067543,-157.066812,Top,90.0
C3,251.246,-155.321,Top,180.0
C4,187.647417,-81.715,Top,0.0
C5,187.472024,-104.14,Top,0.0
C6,61.428918,-202.448101,Top,0.0
C7,61.559543,-181.156812,Top,0.0
C8,257.557225,-112.903,Top,180.0
C9,257.097,-134.3328,Top,180.0
C10,257.697,-127.7089,Top,0.0
C11,250.19,-137.878,Top,180.0
D1,36.592667,-102.362,Top,90.0
D2,55.860381,-102.362,Top,90.0
D3,75.128096,-102.362,Top,90.0
D4,94.39581,-102.362,Top,90.0
D5,113.663524,-102.362,Top,90.0
D6,132.931238,-102.362,Top,90.0
D7,152.198953,-102.362,Top,90.0
D8,36.846667,-56.642,Top,90.0
D9,59.283334,-56.642,Top,90.0
D10,81.72,-56.642,Top,90.0
D11,104.156667,-56.642,Top,90.0
D12,126.593334,-56.642,Top,90.0
D13,149.03,-56.642,Top,90.0
D14,171.466667,-56.642,Top,90.0
D15,171.466667,-102.33,Top,90.0
D16,76.291543,-200.968812,Top,90.0
D17,97.010686,-200.968812,Top,90.0
D18,117.729829,-200.968812,Top,90.0
D19,138.448972,-200.968812,Top,90.0
D20,159.168114,-200.968812,Top,90.0
D21,179.887257,-200.968812,Top,90.0
D22,200.6064,-200.968812,Top,90.0
D23,221.325543,-200.968812,Top,90.0
D24,76.291543,-156.010812,Top,90.0
D25,100.463876,-156.010812,Top,90.0
D26,124.63621,-156.010812,Top,90.0
D27,148.808543,-156.010812,Top,90.0
D28,172.980876,-156.010812,Top,90.0
D29,197.15321,-156.010812,Top,90.0
D30,221.325543,-156.010812,Top,90.0
D31,247.65,-125.349,Top,90.0
D34,245.874001,-109.175836,Top,0.0
J1,34.798,-113.284,Top,0.0
J2,58.297167,-113.284,Top,0.0
J3,81.796333,-113.284,Top,0.0
J4,105.2955,-113.284,Top,0.0
J5,128.794667,-113.284,Top,0.0
J6,152.293833,-113.284,Top,0.0
J7,175.793,-113.284,Top,0.0
J8,44.466667,-42.672,Top,0.0
J9,72.685667,-42.692,Top,0.0
J10,114.595667,-42.672,Top,0.0
J11,140.999167,-42.672,Top,0.0
J12,167.402667,-42.672,Top,0.0
J13,199.152667,-113.284,Top,0.0
J14,222.651834,-113.284,Top,0.0
J15,208.821334,-42.672,Top,0.0
J16,82.233414,-212.989987,Top,0.0
J17,105.728414,-212.989987,Top,0.0
J18,129.223414,-212.989987,Top,0.0
J19,152.718414,-212.989987,Top,0.0
J20,176.213414,-212.989987,Top,0.0
J21,199.708414,-212.989987,Top,0.0
J22,223.203414,-212.989987,Top,0.0
J23,91.877081,-142.377987,Top,0.0
J24,120.079414,-142.377987,Top,0.0
J25,161.989414,-142.377987,Top,0.0
J26,188.405414,-142.377987,Top,0.0
J27,214.821414,-142.377987,Top,0.0
J28,50.500081,-142.397987,Top,0.0
J29,58.865414,-212.989987,Top,0.0
J30,35.370414,-212.989987,Top,0.0
J31,202.708667,-82.794,Top,90.0
J32,47.833543,-202.746812,Top,180.0
J35,42.763543,-159.820812,Top,-90.0
J36,203.216667,-92.964,Top,90.0
J37,246.104001,-102.825836,Top,180.0
J38,36.413543,-176.250812,Top,90.0
J39,286.995,-158.613,Top,180.0
J40,218.964667,-54.61,Top,-90.0
J41,271.755,-158.613,Top,180.0
J42,203.216667,-102.362,Top,90.0
J43,294.615,-158.613,Top,180.0
J44,264.11,-158.613,Top,180.0
J45,50.383543,-154.486812,Top,-90.0
J46,282.702,-168.021,Top,90.0
J47,261.874,-168.021,Top,-90.0
L1,256.794,-102.641,Top,-90.0
Q1,37.608667,-92.898,Top,0.0
Q2,58.902334,-92.898,Top,0.0
Q3,80.196,-92.898,Top,0.0
Q4,101.489667,-92.898,Top,0.0
Q5,122.783334,-92.898,Top,0.0
Q6,144.077,-92.898,Top,0.0
Q7,165.370667,-92.898,Top,0.0
Q8,37.608667,-70.104,Top,0.0
Q9,55.860381,-70.104,Top,0.0
Q10,74.112096,-70.104,Top,0.0
Q11,92.36381,-70.104,Top,0.0
Q12,110.615524,-70.104,Top,0.0
Q13,128.867238,-70.104,Top,0.0
Q14,147.118953,-70.104,Top,0.0
Q15,165.370667,-70.104,Top,0.0
Q16,77.053543,-191.570812,Top,0.0
Q17,100.09221,-191.570812,Top,0.0
Q18,123.130876,-191.570812,Top,0.0
Q19,146.169543,-191.570812,Top,0.0
Q20,169.20821,-191.570812,Top,0.0
Q21,192.246876,-191.570812,Top,0.0
Q22,215.285543,-191.570812,Top,0.0
Q23,77.053543,-169.809987,Top,0.0
Q24,96.800972,-169.809987,Top,0.0
Q25,116.5484,-169.809987,Top,0.0
Q26,136.295829,-169.809987,Top,0.0
Q27,156.043257,-169.809987,Top,0.0
Q28,175.790686,-169.809987,Top,0.0
Q29,195.538114,-169.809987,Top,0.0
Q30,215.285543,-169.809987,Top,0.0
R1,181.118667,-69.567,Top,0.0
R2,36.592667,-80.264,Top,0.0
R3,181.118667,-73.606333,Top,0.0
R4,181.118667,-77.645667,Top,0.0
R5,181.118667,-81.685,Top,0.0
R6,194.176167,-69.567,Top,0.0
R7,194.176167,-73.606333,Top,0.0
R8,194.176167,-77.645667,Top,0.0
R9,194.176167,-81.685,Top,0.0
R10,181.118667,-91.992,Top,0.0
R11,181.118667,-96.031333,Top,0.0
R12,181.118667,-100.070667,Top,0.0
R13,181.118667,-104.11,Top,0.0
R14,193.825381,-91.992,Top,0.0
R15,193.825381,-96.031333,Top,0.0
R16,193.825381,-100.070667,Top,0.0
R17,54.548168,-190.450101,Top,0.0
R18,54.570918,-194.309434,Top,0.0
R19,54.570918,-198.348767,Top,0.0
R20,54.570918,-202.388101,Top,0.0
R21,68.160668,-190.450101,Top,0.0
R22,68.160668,-194.309434,Top,0.0
R23,68.160668,-198.348767,Top,0.0
R24,68.160668,-202.388101,Top,0.0
R25,54.889543,-169.098812,Top,0.0
R26,54.889543,-173.108145,Top,0.0
R27,54.889543,-177.147478,Top,0.0
R28,54.889543,-181.186812,Top,0.0
R29,68.160668,-169.098812,Top,0.0
R30,68.160668,-173.083479,Top,0.0
R31,68.160668,-177.177479,Top,0.0
R32,46.218463,-80.264,Top,0.0
R33,55.844259,-80.264,Top,0.0
R34,65.470055,-80.264,Top,0.0
R35,75.095851,-80.264,Top,0.0
R36,84.721647,-80.264,Top,0.0
R37,94.347443,-80.264,Top,0.0
R38,103.973239,-80.264,Top,0.0
R39,113.599034,-80.264,Top,0.0
R40,123.22483,-80.264,Top,0.0
R41,132.850626,-80.264,Top,0.0
R42,142.476422,-80.264,Top,0.0
R43,152.102218,-80.264,Top,0.0
R44,161.728014,-80.264,Top,0.0
R45,171.35381,-80.264,Top,0.0
R46,76.037543,-180.648812,Top,0.0
R47,86.447927,-180.648812,Top,0.0
R48,96.85831,-180.648812,Top,0.0
R49,107.268694,-180.648812,Top,0.0
R50,117.679078,-180.648812,Top,0.0
R51,128.089461,-180.648812,Top,0.0
R52,138.499845,-180.648812,Top,0.0
R53,148.910229,-180.648812,Top,0.0
R54,159.320612,-180.648812,Top,0.0
R55,169.730996,-180.648812,Top,0.0
R56,180.141379,-180.648812,Top,0.0
R57,190.551763,-180.648812,Top,0.0
R58,200.962147,-180.648812,Top,0.0
R59,211.37253,-180.648812,Top,0.0
R60,221.782914,-180.648812,Top,0.0
R61,257.717,-147.3206,Top,180.0
R62,257.717,-140.9267,Top,180.0
R63,257.717,-121.285,Top,0.0
U2,187.722667,-73.914,Top,0.0
U3,187.290383,-96.339,Top,0.0
U4,61.481795,-173.445812,Top,0.0
U5,247.904,-115.697,Top,0.0
U6,61.39442,-194.647101,Top,0.0
